"","term","description","gene","count","namespace"
"1","GO:0000002","mitochondrial genome maintenance","CHAFR746836.1.1_0032940.1",1,"biological_process"
"2","GO:0000011","vacuole inheritance","CHAFR746836.1.1_0002770.1",1,"biological_process"
"3","GO:0000015","phosphopyruvate hydratase complex","CHAFR746836.1.1_0074260.1",1,"cellular_component"
"4","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0093640.1",1,"molecular_function"
"5","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0034810.1",1,"molecular_function"
"6","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0044200.1",1,"molecular_function"
"7","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0054850.1",1,"molecular_function"
"8","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0002420.1",1,"molecular_function"
"9","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0000190.1",1,"molecular_function"
"10","GO:0000030","mannosyltransferase activity","CHAFR746836.1.1_0010220.1",1,"molecular_function"
"11","GO:0000042","protein targeting to Golgi","CHAFR746836.1.1_0062970.1",1,"biological_process"
"12","GO:0000042","protein targeting to Golgi","CHAFR746836.1.1_0071350.1",1,"biological_process"
"13","GO:0000045","autophagic vacuole assembly","CHAFR746836.1.1_0047400.1",1,"biological_process"
"14","GO:0000049","tRNA binding","CHAFR746836.1.1_0081670.1",1,"molecular_function"
"15","GO:0000049","tRNA binding","CHAFR746836.1.1_0046880.1",1,"molecular_function"
"16","GO:0000049","tRNA binding","CHAFR746836.1.1_0056050.1",1,"molecular_function"
"17","GO:0000049","tRNA binding","CHAFR746836.1.1_0077360.1",1,"molecular_function"
"18","GO:0000055","ribosomal large subunit export from nucleus","CHAFR746836.1.1_0048710.1",1,"biological_process"
"19","GO:0000062","fatty-acyl-CoA binding","CHAFR746836.1.1_0048320.1",1,"molecular_function"
"20","GO:0000062","fatty-acyl-CoA binding","CHAFR746836.1.1_0087970.1",1,"molecular_function"
"21","GO:0000075","cell cycle checkpoint","CHAFR746836.1.1_0081960.1",1,"biological_process"
"22","GO:0000077","DNA damage checkpoint","CHAFR746836.1.1_0050070.1",1,"biological_process"
"23","GO:0000077","DNA damage checkpoint","CHAFR746836.1.1_0084600.1",1,"biological_process"
"24","GO:0000077","DNA damage checkpoint","CHAFR746836.1.1_0081960.1",1,"biological_process"
"25","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0077990.1",1,"biological_process"
"26","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0054200.1",1,"biological_process"
"27","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0066670.1",1,"biological_process"
"28","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0087080.1",1,"biological_process"
"29","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0033630.1",1,"biological_process"
"30","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0059520.1",1,"biological_process"
"31","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0073680.1",1,"biological_process"
"32","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0047100.1",1,"biological_process"
"33","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0039900.1",1,"biological_process"
"34","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0002660.1",1,"biological_process"
"35","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0073150.1",1,"biological_process"
"36","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0041710.1",1,"biological_process"
"37","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","CHAFR746836.1.1_0016650.1",1,"biological_process"
"38","GO:0000087","M phase of mitotic cell cycle","CHAFR746836.1.1_0022740.1",1,"biological_process"
"39","GO:0000096","sulfur amino acid metabolic process","CHAFR746836.1.1_0047200.1",1,"biological_process"
"40","GO:0000103","sulfate assimilation","CHAFR746836.1.1_0047200.1",1,"biological_process"
"41","GO:0000103","sulfate assimilation","CHAFR746836.1.1_0033100.1",1,"biological_process"
"42","GO:0000104","succinate dehydrogenase activity","CHAFR746836.1.1_0055240.1",1,"molecular_function"
"43","GO:0000104","succinate dehydrogenase activity","CHAFR746836.1.1_0000610.1",1,"molecular_function"
"44","GO:0000104","succinate dehydrogenase activity","CHAFR746836.1.1_0017340.1",1,"molecular_function"
"45","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0077670.1",1,"biological_process"
"46","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0054690.1",1,"biological_process"
"47","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0070580.1",1,"biological_process"
"48","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0078310.1",1,"biological_process"
"49","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0000290.1",1,"biological_process"
"50","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0062760.1",1,"biological_process"
"51","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0100840.1",1,"biological_process"
"52","GO:0000105","histidine biosynthetic process","CHAFR746836.1.1_0100890.1",1,"biological_process"
