 	Hpseu	Dicsq	Stehi	Punst	Fomme	Trave	Glotr	Conpu	Serla	Hetan	Schco	Phchr	Copci	Aurde	Crypa	Aspni	Stano	Ustma	Wolco	Pospl	Fompi	Dacsp	Trire	Phybl	Lacbi	Treme	Sporo	Mellp	Cryne	Malgl	Picst	Batde
CDH	0	1	1	1	1	1	1	2	2	1	1	1	1	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE1	0	0	1	2	0	3	1	0	0	1	4	4	3	3	2	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE12	0	2	3	0	2	0	0	0	0	2	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE15	1	2	1	2	1	2	1	0	0	1	2	2	8	6	2	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
CE16-group-1	0	4	3	3	2	1	2	2	1	1	4	0	1	11	2	2	1	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0
CE16-group-2	0	6	7	5	4	6	4	4	2	4	6	2	4	18	5	1	1	0	4	3	9	2	0	0	3	1	2	0	0	0	0	0
CE-5	1	0	1	1	0	0	0	1	0	0	2	0	6	3	15	5	11	4	0	0	0	0	4	0	1	0	0	14	0	0	0	0
CE-8	0	3	4	6	3	2	2	2	2	3	2	2	0	3	4	3	2	1	1	1	2	3	0	4	4	0	0	5	0	0	0	0
cytb652	0	1	1	0	0	1	0	3	2	1	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DyP	0	1	2	5	3	2	0	0	0	1	0	0	4	11	0	0	0	0	0	2	0	0	0	0	2	1	0	2	1	0	0	0
Fet3-MCO	0	2	4	1	1	3	1	2	2	3	1	5	0	2	4	4	3	3	2	2	2	5	4	2	2	3	1	16	5	9	2	3
GH-11	1	0	1	1	0	0	0	0	0	0	1	1	6	3	4	3	7	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GH-12	0	3	5	2	3	5	2	4	1	4	1	2	1	1	5	3	4	0	2	2	2	1	2	0	3	0	0	5	0	0	0	0
GH-28-group-1	0	1	3	1	5	3	1	1	1	1	0	1	0	1	3	6	0	0	1	1	3	0	0	0	0	0	0	3	0	0	0	0
