scaffold	start	stop	nls_count	ss_count	gc_percent
Cf746836_TGAC_s1v1_scaffold_1	1	3396	6	0	38
Cf746836_TGAC_s1v1_scaffold_10	1	10001	30	2	47
Cf746836_TGAC_s1v1_scaffold_10	10001	20001	0	2	46
Cf746836_TGAC_s1v1_scaffold_10	20001	22882	0	0	46
Cf746836_TGAC_s1v1_scaffold_100	1	7781	12	2	42
Cf746836_TGAC_s1v1_scaffold_1000	1	10001	20	0	26
Cf746836_TGAC_s1v1_scaffold_1000	10001	20001	0	0	20
Cf746836_TGAC_s1v1_scaffold_1000	20001	30001	0	1	28
Cf746836_TGAC_s1v1_scaffold_1000	30001	40001	0	3	38
Cf746836_TGAC_s1v1_scaffold_1000	40001	43028	0	0	48
Cf746836_TGAC_s1v1_scaffold_1001	1	10001	53	2	45
Cf746836_TGAC_s1v1_scaffold_1001	10001	20001	0	6	45
Cf746836_TGAC_s1v1_scaffold_1001	20001	30001	0	2	45
Cf746836_TGAC_s1v1_scaffold_1001	30001	40001	0	1	45
Cf746836_TGAC_s1v1_scaffold_1001	40001	50001	0	4	47
Cf746836_TGAC_s1v1_scaffold_1001	50001	60001	0	2	40
Cf746836_TGAC_s1v1_scaffold_1001	60001	67078	0	0	27
Cf746836_TGAC_s1v1_scaffold_1002	1	10001	55	3	44
Cf746836_TGAC_s1v1_scaffold_1002	10001	20001	0	0	43
Cf746836_TGAC_s1v1_scaffold_1002	20001	30001	0	3	46
Cf746836_TGAC_s1v1_scaffold_1002	30001	40001	0	1	45
Cf746836_TGAC_s1v1_scaffold_1002	40001	40094	0	0	58
Cf746836_TGAC_s1v1_scaffold_1003	1	10001	4	0	27
Cf746836_TGAC_s1v1_scaffold_1003	10001	20001	0	1	43
Cf746836_TGAC_s1v1_scaffold_1003	20001	22787	0	0	36
Cf746836_TGAC_s1v1_scaffold_1004	1	10001	20	2	45
Cf746836_TGAC_s1v1_scaffold_1004	10001	20001	0	6	46
Cf746836_TGAC_s1v1_scaffold_1004	20001	23360	0	1	44
Cf746836_TGAC_s1v1_scaffold_1005	1	10001	30	2	45
Cf746836_TGAC_s1v1_scaffold_1005	10001	20001	0	4	43
