 	Chalara	Dicsq	Stehi	Punst	Fomme	Trave	Glotr	Conpu	Serla	Hetan	Schco	Phchr	Copci	Aurde	Crypa	Aspni	Stano	Ustma	Wolco	Pospl	Fompi	Dacsp	Trire	Phybl	Lacbi	Treme	Sporo	Mellp	Cryne	Malgl	Picst	Batde
CDH	0	1	1	1	1	1	1	2	2	1	1	1	1	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE1.txt	0	0	1	2	0	3	1	0	0	1	4	4	3	3	2	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE12	0	2	3	0	2	0	0	0	0	2	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE15	1	2	1	2	1	2	1	0	0	1	2	2	8	6	2	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
CE16_group1	0	4	3	3	2	1	2	2	1	1	4	0	1	11	2	2	1	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0
CE16_group2	0	6	7	5	4	6	4	4	2	4	6	2	4	18	5	1	1	0	4	3	9	2	0	0	3	1	2	0	0	0	0	0
CE5	1	0	1	1	0	0	0	1	0	0	2	0	6	3	15	5	11	4	0	0	0	0	4	0	1	0	0	14	0	0	0	0
CE8	0	3	4	6	3	2	2	2	2	3	2	2	0	3	4	3	2	1	1	1	2	3	0	4	4	0	0	5	0	0	0	0
cytb652	0	1	1	0	0	1	0	3	2	1	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DyP	0	1	2	5	3	2	0	0	0	1	0	0	4	11	0	0	0	0	0	2	0	0	0	0	2	1	0	2	1	0	0	0
Fet3_MCOother	0	2	4	1	1	3	1	2	2	3	1	5	0	2	4	4	3	3	2	2	2	5	4	2	2	3	1	16	5	9	2	3
GH11	1	0	1	1	0	0	0	0	0	0	1	1	6	3	4	3	7	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GH12	0	3	5	2	3	5	2	4	1	4	1	2	1	1	5	3	4	0	2	2	2	1	2	0	3	0	0	5	0	0	0	0
GH28_group1	0	1	3	1	5	3	1	1	1	1	0	1	0	1	3	6	0	0	1	1	3	0	0	0	0	0	0	3	0	0	0	0
Gh28_group2	0	1	5	4	3	2	2	4	1	2	1	1	0	1	8	7	2	1	2	2	4	1	1	0	3	0	0	0	0	0	0	0
GH28_group3	0	5	9	8	8	6	7	8	5	5	2	2	3	8	10	9	2	0	6	4	6	5	3	9	4	0	0	0	1	0	0	0
GH3_b_glucosid_group3	1	3	7	8	4	6	4	4	4	5	4	2	4	7	10	9	8	3	2	1	7	1	6	2	2	2	2	3	2	1	1	0
GH3_b_N_acetyl_glucosaminid	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0
GH3_b_xylosidases	0	1	2	0	0	2	1	2	1	1	2	1	0	1	1	1	2	0	1	1	2	1	2	0	0	0	0	0	0	0	0	0
GH3_group1and2	1	3	6	4	3	3	4	6	4	5	5	6	3	4	4	6	6	0	4	3	3	6	3	0	0	1	1	0	5	0	6	1
GH5_group1_endogluc	0	3	3	3	3	3	2	5	3	3	2	2	1	4	5	3	3	0	2	3	3	3	2	0	1	0	0	4	0	0	0	1
GH5_group2_mannan	0	2	3	3	3	2	3	3	5	4	1	3	5	4	2	1	2	1	2	2	2	2	1	1	2	0	2	3	0	0	0	0
GH61_group1	0	7	8	9	6	9	1	2	2	6	12	8	22	10	4	3	19	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
GH61_group2	0	8	8	5	7	9	3	8	3	4	10	7	13	9	8	4	10	0	2	2	2	0	2	0	4	0	0	0	1	0	0	0
GH74	0	1	2	2	4	1	1	0	1	1	1	4	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GH_10	0	5	6	5	4	6	4	3	1	2	5	6	6	4	4	2	7	2	4	2	2	3	1	0	0	0	0	6	0	0	1	0
GH_6.txt	0	1	1	1	2	1	0	2	1	1	1	1	5	2	2	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GH_7	0	3	3	5	2	4	0	2	0	1	2	8	6	6	5	2	5	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0
GLP	0	6	11	6	8	2	6	11	3	1	7	3	0	1	0	0	0	0	10	5	10	3	0	0	1	0	0	2	0	0	0	0
HTP_1	0	0	1	1	0	0	0	0	0	0	0	0	5	10	0	1	8	2	0	0	0	4	0	0	1	0	0	12	0	0	0	0
HTP_2	0	2	4	5	3	1	5	1	2	4	1	2	1	3	0	0	0	0	3	1	2	0	0	0	2	0	0	0	0	0	0	0
HTP_3	0	2	5	2	1	2	1	1	1	1	2	1	2	3	2	4	5	1	2	1	2	2	4	0	2	0	0	5	0	0	0	0
L_ascor_oxid	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	3	0	1	0	3	0	0	0	0
Lacc_Bas_Asco	0	11	15	12	10	7	3	6	4	13	2	0	17	7	10	7	3	0	3	3	5	0	1	0	9	0	0	0	0	0	0	0
OXO_DEC	0	5	3	2	3	5	4	2	3	3	5	7	1	3	2	2	3	0	4	5	5	2	3	0	1	0	0	1	0	0	0	0
POD	0	12	6	11	17	26	0	0	0	8	0	16	1	19	1	0	5	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
QRD	0	1	1	3	3	1	3	2	2	2	4	4	3	4	1	1	1	1	1	1	1	1	1	4	2	1	1	1	2	0	4	1
relatedtomelaninsynthesisenzymes	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	3	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
